"","","cumulative_prob"
"0.1%",102833.709962457,0.001
"0.2%",103955.995184787,0.002
"0.3%",105068.81213176,0.003
"0.4%",106047.342070028,0.004
"0.5%",106927.870582853,0.005
"0.6%",107652.95585692,0.006
"0.7%",108461.515824716,0.007
"0.8%",109138.326939288,0.008
"0.9%",109735.155263844,0.009
"1.0%",110394.872003203,0.01
"1.1%",111004.88403001,0.011
"1.2%",111617.696870451,0.012
"1.3%",112218.015604815,0.013
"1.4%",112777.702129291,0.014
"1.5%",113264.791992383,0.015
"1.6%",113865.569232995,0.016
"1.7%",114459.059217816,0.017
"1.8%",115010.986145273,0.018
"1.9%",115488.734674963,0.019
"2.0%",115994.041694752,0.02
"2.1%",116572.166410225,0.021
"2.2%",117144.546043245,0.022
"2.3%",117640.878301834,0.023
"2.4%",118128.685965054,0.024
"2.5%",118558.860298796,0.025
"2.6%",119050.726297499,0.026
"2.7%",119542.376937208,0.027
"2.8%",120018.761329922,0.028
"2.9%",120504.762661218,0.029
"3.0%",120926.140834819,0.03
"3.1%",121317.274410721,0.031
"3.2%",121819.403794415,0.032
"3.3%",122210.191191231,0.033
"3.4%",122731.038205827,0.034
"3.5%",123183.099353173,0.035
"3.6%",123581.910978866,0.036
"3.7%",124032.353030369,0.037
"3.8%",124458.665823047,0.038
"3.9%",124894.305633783,0.039
"4.0%",125311.607431976,0.04
"4.1%",125778.737431006,0.041
"4.2%",126253.146970383,0.042
"4.3%",126776.865464554,0.043
"4.4%",127265.588188322,0.044
"4.5%",127690.950310764,0.045
"4.6%",128124.640583525,0.046
"4.7%",128473.611354929,0.047
"4.8%",128848.191480232,0.048
"4.9%",129302.052638359,0.049
"5.0%",129693.673258129,0.05
"5.1%",130135.887041055,0.051
"5.2%",130533.116794402,0.052
"5.3%",130913.766619088,0.053
"5.4%",131287.477036095,0.054
"5.5%",131804.721053939,0.055
"5.6%",132223.975422728,0.056
"5.7%",132641.559715122,0.057
"5.8%",133144.535547339,0.058
"5.9%",133488.51516984,0.059
"6.0%",133812.029332312,0.06
"6.1%",134232.209313714,0.061
"6.2%",134666.908186286,0.062
"6.3%",135008.209039624,0.063
"6.4%",135425.144245508,0.064
"6.5%",135781.750336457,0.065
"6.6%",136208.112524091,0.066
"6.7%",136578.398074404,0.067
"6.8%",136967.011210602,0.068
"6.9%",137364.39487176,0.069
"7.0%",137768.287820434,0.07
"7.1%",138171.394163279,0.071
"7.2%",138597.533340072,0.072
"7.3%",138939.887818587,0.073
"7.4%",139390.456901286,0.074
"7.5%",139777.394830872,0.075
"7.6%",140165.002195259,0.076
"7.7%",140551.27839485,0.077
"7.8%",140933.331201793,0.078
"7.9%",141213.969148451,0.079
"8.0%",141593.998578392,0.08
"8.1%",142004.465741936,0.081
"8.2%",142396.060202308,0.082
"8.3%",142734.680432119,0.083
"8.4%",143130.099512982,0.084
"8.5%",143521.230152304,0.085
"8.6%",143892.081051672,0.086
"8.7%",144258.250066472,0.087
"8.8%",144661.477700428,0.088
"8.9%",145066.10297299,0.089
"9.0%",145505.466232076,0.09
"9.1%",145908.910735953,0.091
"9.2%",146325.312395667,0.092
"9.3%",146713.43098791,0.093
"9.4%",147137.042560538,0.094
"9.5%",147488.915554001,0.095
"9.6%",147930.950414038,0.096
"9.7%",148318.291955403,0.097
"9.8%",148729.520661215,0.098
"9.9%",149132.527182945,0.099
"10.0%",149525.542703711,0.1
"10.1%",149943.177280006,0.101
"10.2%",150334.872151005,0.102
"10.3%",150691.885754356,0.103
"10.4%",151076.747077008,0.104
"10.5%",151486.124199122,0.105
"10.6%",151899.667071955,0.106
"10.7%",152349.367223001,0.107
"10.8%",152683.872382778,0.108
"10.9%",153050.844337853,0.109
"11.0%",153422.328545706,0.11
"11.1%",153740.78782442,0.111
"11.2%",154160.786722096,0.112
"11.3%",154621.754395944,0.113
"11.4%",155002.645529851,0.114
"11.5%",155376.453064416,0.115
"11.6%",155787.583340194,0.116
"11.7%",156085.328342927,0.117
"11.8%",156485.677339973,0.118
"11.9%",156937.352851118,0.119
"12.0%",157351.540821639,0.12
"12.1%",157825.405100712,0.121
"12.2%",158208.763075037,0.122
"12.3%",158610.176611884,0.123
"12.4%",158967.957632996,0.124
"12.5%",159431.910809615,0.125
"12.6%",159820.407025904,0.126
"12.7%",160290.416570487,0.127
"12.8%",160714.961643718,0.128
"12.9%",161111.89539073,0.129
"13.0%",161500.922876309,0.13
"13.1%",161757.725863083,0.131
"13.2%",162168.664153822,0.132
"13.3%",162548.961360999,0.133
"13.4%",162982.550364785,0.134
"13.5%",163329.498226377,0.135
"13.6%",163727.46842786,0.136
"13.7%",164150.279159121,0.137
"13.8%",164623.207745466,0.138
"13.9%",165129.518087819,0.139
"14.0%",165575.805875224,0.14
"14.1%",165954.149053671,0.141
"14.2%",166417.246559919,0.142
"14.3%",166786.316586873,0.143
"14.4%",167216.914500883,0.144
